state,map,district,metric,value,map_approved
CA,commission_approved,27,pvi,7.53286712249158,TRUE
CA,commission_approved,27,vap_race_white,37.24,TRUE
CA,commission_approved,27,vap_race_black,9.47,TRUE
CA,commission_approved,27,vap_race_hispanic,39.2,TRUE
CA,commission_approved,27,vap_race_asian,9.59,TRUE
CA,commission_approved,27,vap_race_other,4.49,TRUE
CA,commission_approved,28,competitive,0,TRUE
CA,commission_approved,28,pvi,30.1481319333598,TRUE
CA,commission_approved,28,vap_race_white,28.94,TRUE
CA,commission_approved,28,vap_race_black,3.72,TRUE
CA,commission_approved,28,vap_race_hispanic,24.65,TRUE
CA,commission_approved,28,vap_race_asian,39.44,TRUE
CA,commission_approved,28,vap_race_other,3.25,TRUE
CA,commission_approved,29,competitive,0,TRUE
CA,commission_approved,29,pvi,50.6610776361314,TRUE
CA,commission_approved,29,vap_race_white,23.56,TRUE
CA,commission_approved,29,vap_race_black,4.06,TRUE
CA,commission_approved,29,vap_race_hispanic,61.09,TRUE
CA,commission_approved,29,vap_race_asian,8.63,TRUE
CA,commission_approved,29,vap_race_other,2.65,TRUE
CA,commission_approved,30,competitive,0,TRUE
CA,commission_approved,30,pvi,44.5152349402729,TRUE
CA,commission_approved,30,vap_race_white,57.11,TRUE
CA,commission_approved,30,vap_race_black,3.5,TRUE
CA,commission_approved,30,vap_race_hispanic,21.95,TRUE
CA,commission_approved,30,vap_race_asian,12.89,TRUE
CA,commission_approved,30,vap_race_other,4.54,TRUE
CA,commission_approved,31,competitive,0,TRUE
CA,commission_approved,31,pvi,29.0881126348792,TRUE
CA,commission_approved,31,vap_race_white,16.74,TRUE
CA,commission_approved,31,vap_race_black,2.44,TRUE
CA,commission_approved,31,vap_race_hispanic,57.41,TRUE
CA,commission_approved,31,vap_race_asian,21.1,TRUE
CA,commission_approved,31,vap_race_other,2.32,TRUE
CA,commission_approved,32,competitive,0,TRUE
CA,commission_approved,32,pvi,38.2242929260301,TRUE
CA,commission_approved,32,vap_race_white,54.78,TRUE
CA,commission_approved,32,vap_race_black,4.23,TRUE
CA,commission_approved,32,vap_race_hispanic,23.48,TRUE
CA,commission_approved,32,vap_race_asian,12.77,TRUE
CA,commission_approved,32,vap_race_other,4.74,TRUE
CA,commission_approved,33,competitive,0,TRUE
CA,commission_approved,33,pvi,22.9055488266852,TRUE
CA,commission_approved,33,vap_race_white,20.06,TRUE
CA,commission_approved,33,vap_race_black,10.22,TRUE
CA,commission_approved,33,vap_race_hispanic,58.65,TRUE
CA,commission_approved,33,vap_race_asian,7.65,TRUE
CA,commission_approved,33,vap_race_other,3.42,TRUE
CA,commission_approved,34,competitive,0,TRUE
CA,commission_approved,34,pvi,63.4261322666432,TRUE
CA,commission_approved,34,vap_race_white,12.37,TRUE
CA,commission_approved,34,vap_race_black,4.46,TRUE
CA,commission_approved,34,vap_race_hispanic,61.62,TRUE
CA,commission_approved,34,vap_race_asian,19.02,TRUE
CA,commission_approved,34,vap_race_other,2.53,TRUE
CA,commission_approved,35,competitive,0,TRUE
CA,commission_approved,35,pvi,26.2219057882693,TRUE
CA,commission_approved,35,vap_race_white,16.98,TRUE
CA,commission_approved,35,vap_race_black,6.36,TRUE
CA,commission_approved,35,vap_race_hispanic,61.22,TRUE
CA,commission_approved,35,vap_race_asian,12.56,TRUE
CA,commission_approved,35,vap_race_other,2.88,TRUE
CA,commission_approved,36,competitive,0,TRUE
CA,commission_approved,36,pvi,40.2555606327034,TRUE
CA,commission_approved,36,vap_race_white,57.55,TRUE
CA,commission_approved,36,vap_race_black,3.5,TRUE
CA,commission_approved,36,vap_race_hispanic,15.46,TRUE
CA,commission_approved,36,vap_race_asian,17.73,TRUE
CA,commission_approved,36,vap_race_other,5.76,TRUE
CA,commission_approved,37,competitive,0,TRUE
CA,commission_approved,37,pvi,71.9087653094311,TRUE
CA,commission_approved,37,vap_race_white,14.6,TRUE
CA,commission_approved,37,vap_race_black,23.62,TRUE
CA,commission_approved,37,vap_race_hispanic,50.34,TRUE
CA,commission_approved,37,vap_race_asian,7.32,TRUE
CA,commission_approved,37,vap_race_other,4.13,TRUE
CA,commission_approved,38,competitive,0,TRUE
CA,commission_approved,38,pvi,28.1616810400657,TRUE
CA,commission_approved,38,vap_race_white,15.09,TRUE
CA,commission_approved,38,vap_race_black,1.92,TRUE
CA,commission_approved,38,vap_race_hispanic,58.27,TRUE
CA,commission_approved,38,vap_race_asian,22.41,TRUE
CA,commission_approved,38,vap_race_other,2.31,TRUE
CA,commission_approved,39,competitive,0,TRUE
CA,commission_approved,39,pvi,23.1108000206834,TRUE
CA,commission_approved,39,vap_race_white,22.37,TRUE
CA,commission_approved,39,vap_race_black,8.74,TRUE
CA,commission_approved,39,vap_race_hispanic,58.54,TRUE
CA,commission_approved,39,vap_race_asian,6.62,TRUE
CA,commission_approved,39,vap_race_other,3.73,TRUE
CA,commission_approved,40,competitive,1,TRUE
CA,commission_approved,40,pvi,-4.06569546830353,TRUE
CA,commission_approved,40,vap_race_white,51.6,TRUE
CA,commission_approved,40,vap_race_black,1.7,TRUE
CA,commission_approved,40,vap_race_hispanic,22.76,TRUE
CA,commission_approved,40,vap_race_asian,19.32,TRUE
CA,commission_approved,40,vap_race_other,4.61,TRUE
CA,commission_approved,41,competitive,0,TRUE
CA,commission_approved,41,pvi,-6.57340635892496,TRUE
CA,commission_approved,41,vap_race_white,48.23,TRUE
CA,commission_approved,41,vap_race_black,4.91,TRUE
CA,commission_approved,41,vap_race_hispanic,34.23,TRUE
CA,commission_approved,41,vap_race_asian,8.07,TRUE
CA,commission_approved,41,vap_race_other,4.56,TRUE
CA,commission_approved,42,competitive,0,TRUE
CA,commission_approved,42,pvi,43.5010857875825,TRUE
CA,commission_approved,42,vap_race_white,20.68,TRUE
CA,commission_approved,42,vap_race_black,6.5,TRUE
CA,commission_approved,42,vap_race_hispanic,61.08,TRUE
CA,commission_approved,42,vap_race_asian,8.35,TRUE
CA,commission_approved,42,vap_race_other,3.4,TRUE
CA,commission_approved,43,competitive,0,TRUE
CA,commission_approved,43,pvi,62.8120067956518,TRUE
CA,commission_approved,43,vap_race_white,7.96,TRUE
CA,commission_approved,43,vap_race_black,24.98,TRUE
CA,commission_approved,43,vap_race_hispanic,54.07,TRUE
CA,commission_approved,43,vap_race_asian,9.33,TRUE
CA,commission_approved,43,vap_race_other,3.65,TRUE
CA,commission_approved,44,competitive,0,TRUE
CA,commission_approved,44,pvi,47.0736489943808,TRUE
CA,commission_approved,44,vap_race_white,14.4,TRUE
CA,commission_approved,44,vap_race_black,11.16,TRUE
CA,commission_approved,44,vap_race_hispanic,57.92,TRUE
CA,commission_approved,44,vap_race_asian,12.65,TRUE
CA,commission_approved,44,vap_race_other,3.87,TRUE
CA,commission_approved,45,competitive,1,TRUE
CA,commission_approved,45,pvi,4.56521075710153,TRUE
CA,commission_approved,45,vap_race_white,27.5,TRUE
CA,commission_approved,45,vap_race_black,2.16,TRUE
CA,commission_approved,45,vap_race_hispanic,27.26,TRUE
CA,commission_approved,45,vap_race_asian,39.49,TRUE
CA,commission_approved,45,vap_race_other,3.58,TRUE
CA,commission_approved,46,competitive,0,TRUE
CA,commission_approved,46,pvi,29.4591425647677,TRUE
CA,commission_approved,46,vap_race_white,17.24,TRUE
CA,commission_approved,46,vap_race_black,1.94,TRUE
CA,commission_approved,46,vap_race_hispanic,61.17,TRUE
CA,commission_approved,46,vap_race_asian,17,TRUE
CA,commission_approved,46,vap_race_other,2.65,TRUE
CA,commission_approved,47,competitive,0,TRUE
CA,commission_approved,47,pvi,5.92748369149432,TRUE
CA,commission_approved,47,vap_race_white,53.04,TRUE
CA,commission_approved,47,vap_race_black,1.53,TRUE
CA,commission_approved,47,vap_race_hispanic,15.99,TRUE
CA,commission_approved,47,vap_race_asian,24.27,TRUE
CA,commission_approved,47,vap_race_other,5.16,TRUE
CA,commission_approved,48,competitive,0,TRUE
CA,commission_approved,48,pvi,-18.8328220009478,TRUE
CA,commission_approved,48,vap_race_white,57.07,TRUE
CA,commission_approved,48,vap_race_black,3.09,TRUE
CA,commission_approved,48,vap_race_hispanic,26.21,TRUE
CA,commission_approved,48,vap_race_asian,7.35,TRUE
CA,commission_approved,48,vap_race_other,6.26,TRUE
CA,commission_approved,49,competitive,0,TRUE
CA,commission_approved,49,pvi,5.49174929438417,TRUE
CA,commission_approved,49,vap_race_white,60.97,TRUE
CA,commission_approved,49,vap_race_black,2.2,TRUE
CA,commission_approved,49,vap_race_hispanic,24.49,TRUE
CA,commission_approved,49,vap_race_asian,6.87,TRUE
CA,commission_approved,49,vap_race_other,5.46,TRUE
CA,commission_approved,50,competitive,0,TRUE
CA,commission_approved,50,pvi,27.320332289697,TRUE
CA,commission_approved,50,vap_race_white,57.87,TRUE
CA,commission_approved,50,vap_race_black,2.72,TRUE
CA,commission_approved,50,vap_race_hispanic,19.58,TRUE
CA,commission_approved,50,vap_race_asian,14.23,TRUE
CA,commission_approved,50,vap_race_other,5.61,TRUE
CA,commission_approved,51,competitive,0,TRUE
CA,commission_approved,51,pvi,22.0334464528604,TRUE
CA,commission_approved,51,vap_race_white,48.56,TRUE
CA,commission_approved,51,vap_race_black,5.68,TRUE
CA,commission_approved,51,vap_race_hispanic,22.61,TRUE
CA,commission_approved,51,vap_race_asian,16.84,TRUE
CA,commission_approved,51,vap_race_other,6.31,TRUE
CA,commission_approved,52,competitive,0,TRUE
CA,commission_approved,52,pvi,36.1280234361588,TRUE
CA,commission_approved,52,vap_race_white,15.28,TRUE
CA,commission_approved,52,vap_race_black,7.76,TRUE
CA,commission_approved,52,vap_race_hispanic,57.24,TRUE
CA,commission_approved,52,vap_race_asian,15.88,TRUE
