state,map,district,metric,value,map_approved
AR,117,statewide,median,-4.728195,False
AR,hb1959,01,competitive,0.0,False
AR,hb1959,01,pvi,-45.6756561974573,False
AR,hb1959,01,vap_race_white,77.04,False
AR,hb1959,01,vap_race_black,14.91,False
AR,hb1959,01,vap_race_hispanic,3.07,False
AR,hb1959,01,vap_race_asian,0.71,False
AR,hb1959,01,vap_race_other,4.27,False
AR,hb1959,02,competitive,0.0,False
AR,hb1959,02,pvi,-11.6513352644642,False
AR,hb1959,02,vap_race_white,65.78,False
AR,hb1959,02,vap_race_black,21.81,False
AR,hb1959,02,vap_race_hispanic,5.85,False
AR,hb1959,02,vap_race_asian,1.82,False
AR,hb1959,02,vap_race_other,4.74,False
AR,hb1959,03,competitive,0.0,False
AR,hb1959,03,pvi,-28.9599337022514,False
AR,hb1959,03,vap_race_white,71.48,False
AR,hb1959,03,vap_race_black,2.81,False
AR,hb1959,03,vap_race_hispanic,13.95,False
AR,hb1959,03,vap_race_asian,3.61,False
AR,hb1959,03,vap_race_other,8.16,False
AR,hb1959,04,competitive,0.0,False
AR,hb1959,04,pvi,-42.4479033268558,False
AR,hb1959,04,vap_race_white,71.78,False
AR,hb1959,04,vap_race_black,17.33,False
AR,hb1959,04,vap_race_hispanic,5.42,False
AR,hb1959,04,vap_race_asian,0.8,False
AR,hb1959,04,vap_race_other,4.67,False
AR,hb1959,statewide,efficiency_gap,-21.3730163097541,False
AR,hb1959,statewide,median,-3.86750851455355,False
AR,hb1960,01,competitive,0.0,False
AR,hb1960,01,pvi,-45.0255595090169,False
AR,hb1960,01,vap_race_white,76.39,False
AR,hb1960,01,vap_race_black,15.62,False
AR,hb1960,01,vap_race_hispanic,3.1,False
AR,hb1960,01,vap_race_asian,0.69,False
AR,hb1960,01,vap_race_other,4.2,False
AR,hb1960,02,competitive,0.0,False
AR,hb1960,02,pvi,-12.124259308712,False
AR,hb1960,02,vap_race_white,66.01,False
AR,hb1960,02,vap_race_black,21.61,False
AR,hb1960,02,vap_race_hispanic,5.82,False
AR,hb1960,02,vap_race_asian,1.81,False
AR,hb1960,02,vap_race_other,4.74,False
AR,hb1960,03,competitive,0.0,False
AR,hb1960,03,pvi,-30.1524438512642,False
AR,hb1960,03,vap_race_white,72.12,False
AR,hb1960,03,vap_race_black,2.73,False
AR,hb1960,03,vap_race_hispanic,13.6,False
AR,hb1960,03,vap_race_asian,3.52,False
AR,hb1960,03,vap_race_other,8.03,False
AR,hb1960,04,competitive,0.0,False
AR,hb1960,04,pvi,-42.1586385545764,False
AR,hb1960,04,vap_race_white,71.67,False
AR,hb1960,04,vap_race_black,17.26,False
AR,hb1960,04,vap_race_hispanic,5.5,False
AR,hb1960,04,vap_race_asian,0.82,False
AR,hb1960,04,vap_race_other,4.75,False
AR,hb1960,statewide,efficiency_gap,-21.3734570514232,False
AR,hb1960,statewide,median,-4.31913120292032,False
AR,hb1961,01,competitive,0.0,False
AR,hb1961,01,pvi,-47.9427203313402,False
AR,hb1961,01,vap_race_white,78.66,False
AR,hb1961,01,vap_race_black,13.29,False
AR,hb1961,01,vap_race_hispanic,2.97,False
AR,hb1961,01,vap_race_asian,0.71,False
AR,hb1961,01,vap_race_other,4.37,False
AR,hb1961,02,competitive,0.0,False
AR,hb1961,02,pvi,-11.6277177834057,False
AR,hb1961,02,vap_race_white,65.78,False
AR,hb1961,02,vap_race_black,21.81,False
AR,hb1961,02,vap_race_hispanic,5.85,False
AR,hb1961,02,vap_race_asian,1.82,False
AR,hb1961,02,vap_race_other,4.74,False
AR,hb1961,03,competitive,0.0,False
AR,hb1961,03,pvi,-29.6179875334974,False
AR,hb1961,03,vap_race_white,71.82,False
AR,hb1961,03,vap_race_black,2.75,False
AR,hb1961,03,vap_race_hispanic,13.74,False
AR,hb1961,03,vap_race_asian,3.54,False
