year,congress,ST,ST#,seat,is_GOP,PVI,metric
2010,112,KY,KY4,R,1,R+14,0.57
2010,112,KY,KY5,R,1,R+16,0.58
2010,112,KY,KY6,D,0,R+9,0.545
2010,112,LA,LA1,R,1,R+24,0.62
2010,112,LA,LA2,D,0,D+25,0.375
2010,112,LA,LA3,R,1,R+12,0.56
2010,112,LA,LA4,R,1,R+11,0.555
2010,112,LA,LA5,R,1,R+14,0.57
2010,112,LA,LA6,R,1,R+10,0.55
2010,112,LA,LA7,R,1,R+14,0.57
2010,112,ME,ME1,D,0,D+8,0.46
2010,112,ME,ME2,D,0,D+3,0.485
2010,112,MD,MD1,R,1,R+13,0.565
2010,112,MD,MD2,D,0,D+7,0.465
2010,112,MD,MD3,D,0,D+6,0.47
2010,112,MD,MD4,D,0,D+31,0.345
2010,112,MD,MD5,D,0,D+11,0.445
2010,112,MD,MD6,R,1,R+13,0.565
2010,112,MD,MD7,D,0,D+25,0.375
2010,112,MD,MD8,D,0,D+21,0.395
2010,112,MA,MA1,D,0,D+14,0.43
2010,112,MA,MA2,D,0,D+9,0.455
2010,112,MA,MA3,D,0,D+9,0.455
2010,112,MA,MA4,D,0,D+14,0.43
2010,112,MA,MA5,D,0,D+8,0.46
2010,112,MA,MA6,D,0,D+7,0.465
2010,112,MA,MA7,D,0,D+15,0.425
2010,112,MA,MA8,D,0,D+32,0.34
2010,112,MA,MA9,D,0,D+11,0.445
2010,112,MA,MA10,D,0,D+5,0.475
2010,112,MI,MI1,R,1,R+3,0.515
2010,112,MI,MI2,R,1,R+7,0.535
2010,112,MI,MI3,R,1,R+6,0.53
2010,112,MI,MI4,R,1,R+3,0.515
2010,112,MI,MI5,D,0,D+11,0.445
2010,112,MI,MI6,R,1,R+0,0.5
2010,112,MI,MI7,R,1,R+2,0.51
2010,112,MI,MI8,R,1,R+2,0.51
2010,112,MI,MI9,D,0,D+2,0.49
2010,112,MI,MI10,R,1,R+5,0.525
2010,112,MI,MI11,R,1,R+0,0.5
2010,112,MI,MI12,D,0,D+12,0.44
2010,112,MI,MI13,D,0,D+31,0.345
2010,112,MI,MI14,D,0,D+34,0.33
2010,112,MI,MI15,D,0,D+13,0.435
2010,112,MN,MN1,D,0,R+1,0.505
2010,112,MN,MN2,R,1,R+4,0.52
2010,112,MN,MN3,R,1,R+0,0.5
2010,112,MN,MN4,D,0,D+13,0.435
2010,112,MN,MN5,D,0,D+23,0.385
2010,112,MN,MN6,R,1,R+7,0.535
2010,112,MN,MN7,D,0,R+5,0.525
2010,112,MN,MN8,R,1,D+3,0.485
2010,112,MS,MS1,R,1,R+14,0.57
2010,112,MS,MS2,D,0,D+12,0.44
2010,112,MS,MS3,R,1,R+15,0.575
2010,112,MS,MS4,R,1,R+20,0.6
2010,112,MO,MO1,D,0,D+27,0.365
2010,112,MO,MO2,R,1,R+9,0.545
2010,112,MO,MO3,D,0,D+7,0.465
2010,112,MO,MO4,R,1,R+14,0.57
2010,112,MO,MO5,D,0,D+10,0.45
2010,112,MO,MO6,R,1,R+7,0.535
2010,112,MO,MO7,R,1,R+17,0.585
2010,112,MO,MO8,R,1,R+15,0.575
2010,112,MO,MO9,R,1,R+9,0.545
2010,112,MT,MTAL,R,1,R+7,0.535
2010,112,NE,NE1,R,1,R+11,0.555
2010,112,NE,NE2,R,1,R+6,0.53
2010,112,NE,NE3,R,1,R+24,0.62
2010,112,NV,NV1,D,0,D+10,0.45
2010,112,NV,NV2,R,1,R+5,0.525
2010,112,NV,NV3,R,1,D+2,0.49
2010,112,NH,NH1,R,1,R+0,0.5
2010,112,NH,NH2,R,1,D+3,0.485
2010,112,NJ,NJ1,D,0,D+12,0.44
2010,112,NJ,NJ2,R,1,D+1,0.495
2010,112,NJ,NJ3,R,1,R+1,0.505
2010,112,NJ,NJ4,R,1,R+6,0.53
2010,112,NJ,NJ5,R,1,R+7,0.535
2010,112,NJ,NJ6,D,0,D+8,0.46
2010,112,NJ,NJ7,R,1,R+3,0.515
2010,112,NJ,NJ8,D,0,D+10,0.45
2010,112,NJ,NJ9,D,0,D+9,0.455
2010,112,NJ,NJ10,D,0,D+33,0.335
2010,112,NJ,NJ11,R,1,R+7,0.535
2010,112,NJ,NJ12,D,0,D+5,0.475
2010,112,NJ,NJ13,D,0,D+21,0.395
2010,112,NM,NM1,D,0,D+5,0.475
2010,112,NM,NM2,R,1,R+6,0.53
2010,112,NM,NM3,D,0,D+7,0.465
2010,112,NY,NY1,D,0,R+0,0.5
2010,112,NY,NY2,D,0,D+4,0.48
2010,112,NY,NY3,R,1,R+4,0.52
2010,112,NY,NY4,D,0,D+6,0.47
2010,112,NY,NY5,D,0,D+12,0.44
2010,112,NY,NY6,D,0,D+36,0.32
2010,112,NY,NY7,D,0,D+26,0.37
2010,112,NY,NY8,D,0,D+22,0.39
2010,112,NY,NY9,R,1,D+5,0.475
2010,112,NY,NY10,D,0,D+38,0.31
2010,112,NY,NY11,D,0,D+38,0.31
2010,112,NY,NY12,D,0,D+33,0.335
2010,112,NY,NY13,R,1,R+4,0.52
2010,112,NY,NY14,D,0,D+26,0.37
2010,112,NY,NY15,D,0,D+41,0.295
2010,112,NY,NY16,D,0,D+41,0.295
2010,112,NY,NY17,D,0,D+18,0.41
2010,112,NY,NY18,D,0,D+9,0.455
2010,112,NY,NY19,R,1,R+3,0.515
2010,112,NY,NY20,R,1,R+2,0.51
2010,112,NY,NY21,D,0,D+6,0.47
2010,112,NY,NY22,D,0,D+6,0.47
2010,112,NY,NY23,D,0,R+1,0.505
2010,112,NY,NY24,R,1,R+2,0.51
2010,112,NY,NY25,R,1,D+3,0.485
2010,112,NY,NY26,D,0,R+6,0.53
2010,112,NY,NY27,D,0,D+4,0.48
2010,112,NY,NY28,D,0,D+15,0.425
2010,112,NY,NY29,R,1,R+5,0.525
2010,112,NC,NC1,D,0,D+9,0.455
2010,112,NC,NC2,R,1,R+2,0.51
2010,112,NC,NC3,R,1,R+16,0.58
2010,112,NC,NC4,D,0,D+8,0.46
2010,112,NC,NC5,R,1,R+15,0.575
2010,112,NC,NC6,R,1,R+18,0.59
2010,112,NC,NC7,D,0,R+5,0.525
2010,112,NC,NC8,D,0,R+2,0.51
2010,112,NC,NC9,R,1,R+11,0.555
2010,112,NC,NC10,R,1,R+17,0.585
2010,112,NC,NC11,D,0,R+6,0.53
2010,112,NC,NC12,D,0,D+16,0.42
2010,112,NC,NC13,D,0,D+5,0.475
2010,112,ND,NDAL,R,1,R+10,0.55
2010,112,OH,OH1,R,1,D+1,0.495
2010,112,OH,OH2,R,1,R+13,0.565
2010,112,OH,OH3,R,1,R+5,0.525
2010,112,OH,OH4,R,1,R+15,0.575
2010,112,OH,OH5,R,1,R+9,0.545
2010,112,OH,OH6,R,1,R+2,0.51
2010,112,OH,OH7,R,1,R+7,0.535
2010,112,OH,OH8,R,1,R+14,0.57
2010,112,OH,OH9,D,0,D+10,0.45
2010,112,OH,OH10,D,0,D+8,0.46
2010,112,OH,OH11,D,0,D+32,0.34
2010,112,OH,OH12,R,1,D+1,0.495
2010,112,OH,OH13,D,0,D+5,0.475
2010,112,OH,OH14,R,1,R+3,0.515
2010,112,OH,OH15,R,1,D+1,0.495
2010,112,OH,OH16,R,1,R+4,0.52
2010,112,OH,OH17,D,0,D+12,0.44
2010,112,OH,OH18,R,1,R+7,0.535
2010,112,OK,OK1,R,1,R+16,0.58
2010,112,OK,OK2,D,0,R+14,0.57
2010,112,OK,OK3,R,1,R+24,0.62
2010,112,OK,OK4,R,1,R+18,0.59
2010,112,OK,OK5,R,1,R+13,0.565
2010,112,OR,OR1,D,0,D+8,0.46
2010,112,OR,OR2,R,1,R+10,0.55
2010,112,OR,OR3,D,0,D+19,0.405
2010,112,OR,OR4,D,0,D+2,0.49
2010,112,OR,OR5,D,0,D+1,0.495
2010,112,PA,PA1,D,0,D+35,0.325
2010,112,PA,PA2,D,0,D+38,0.31
2010,112,PA,PA3,R,1,R+3,0.515
2010,112,PA,PA4,D,0,R+6,0.53
2010,112,PA,PA5,R,1,R+9,0.545
2010,112,PA,PA6,R,1,D+4,0.48
2010,112,PA,PA7,R,1,D+3,0.485
2010,112,PA,PA8,R,1,D+2,0.49
2010,112,PA,PA9,R,1,R+17,0.585
2010,112,PA,PA10,R,1,R+8,0.54
2010,112,PA,PA11,R,1,D+4,0.48
2010,112,PA,PA12,D,0,R+1,0.505
2010,112,PA,PA13,D,0,D+7,0.465
2010,112,PA,PA14,D,0,D+19,0.405
2010,112,PA,PA15,R,1,D+2,0.49
2010,112,PA,PA16,R,1,R+8,0.54
2010,112,PA,PA17,D,0,R+6,0.53
2010,112,PA,PA18,R,1,R+6,0.53
2010,112,PA,PA19,R,1,R+12,0.56
2010,112,RI,RI1,D,0,D+13,0.435
2010,112,RI,RI2,D,0,D+9,0.455
2010,112,SC,SC1,R,1,R+10,0.55
2010,112,SC,SC2,R,1,R+9,0.545
2010,112,SC,SC3,R,1,R+17,0.585
2010,112,SC,SC4,R,1,R+15,0.575
2010,112,SC,SC5,R,1,R+7,0.535
2010,112,SC,SC6,D,0,D+12,0.44
2010,112,SD,SDAL,R,1,R+9,0.545
2010,112,TN,TN1,R,1,R+21,0.605
2010,112,TN,TN2,R,1,R+16,0.58
2010,112,TN,TN3,R,1,R+13,0.565
2010,112,TN,TN4,R,1,R+13,0.565
2010,112,TN,TN5,D,0,D+3,0.485
2010,112,TN,TN6,R,1,R+13,0.565
2010,112,TN,TN7,R,1,R+18,0.59
2010,112,TN,TN8,R,1,R+6,0.53
2010,112,TN,TN9,D,0,D+23,0.385
2010,112,TX,TX1,R,1,R+21,0.605
2010,112,TX,TX2,R,1,R+13,0.565
2010,112,TX,TX3,R,1,R+14,0.57
2010,112,TX,TX4,R,1,R+21,0.605
2010,112,TX,TX5,R,1,R+17,0.585
2010,112,TX,TX6,R,1,R+15,0.575
2010,112,TX,TX7,R,1,R+13,0.565
2010,112,TX,TX8,R,1,R+25,0.625
2010,112,TX,TX9,D,0,D+22,0.39
2010,112,TX,TX10,R,1,R+10,0.55
2010,112,TX,TX11,R,1,R+28,0.64
2010,112,TX,TX12,R,1,R+16,0.58
2010,112,TX,TX13,R,1,R+29,0.645
2010,112,TX,TX14,R,1,R+18,0.59
2010,112,TX,TX15,D,0,D+3,0.485
2010,112,TX,TX16,D,0,D+10,0.45
2010,112,TX,TX17,R,1,R+20,0.6
2010,112,TX,TX18,D,0,D+24,0.38
2010,112,TX,TX19,R,1,R+26,0.63
2010,112,TX,TX20,D,0,D+8,0.46
2010,112,TX,TX21,R,1,R+14,0.57
2010,112,TX,TX22,R,1,R+13,0.565
2010,112,TX,TX23,R,1,R+4,0.52
2010,112,TX,TX24,R,1,R+11,0.555
2010,112,TX,TX25,D,0,D+6,0.47
2010,112,TX,TX26,R,1,R+13,0.565
2010,112,TX,TX27,R,1,R+2,0.51
2010,112,TX,TX28,D,0,R+0,0.5
2010,112,TX,TX29,D,0,D+8,0.46
2010,112,TX,TX30,D,0,D+27,0.365
2010,112,TX,TX31,R,1,R+14,0.57
2010,112,TX,TX32,R,1,R+8,0.54
2010,112,UT,UT1,R,1,R+21,0.605
2010,112,UT,UT2,D,0,R+15,0.575
2010,112,UT,UT3,R,1,R+26,0.63
2010,112,VT,VTAL,D,0,D+13,0.435
2010,112,VA,VA1,R,1,R+7,0.535
2010,112,VA,VA2,R,1,R+5,0.525
2010,112,VA,VA3,D,0,D+20,0.4
2010,112,VA,VA4,R,1,R+4,0.52
2010,112,VA,VA5,R,1,R+5,0.525
2010,112,VA,VA6,R,1,R+12,0.56
2010,112,VA,VA7,R,1,R+9,0.545
2010,112,VA,VA8,D,0,D+16,0.42
2010,112,VA,VA9,R,1,R+11,0.555
2010,112,VA,VA10,R,1,R+2,0.51
2010,112,VA,VA11,D,0,D+2,0.49
2010,112,WA,WA1,D,0,D+9,0.455
2010,112,WA,WA2,D,0,D+3,0.485
2010,112,WA,WA3,R,1,R+0,0.5
2010,112,WA,WA4,R,1,R+13,0.565
2010,112,WA,WA5,R,1,R+7,0.535
2010,112,WA,WA6,D,0,D+5,0.475
2010,112,WA,WA7,D,0,D+31,0.345
2010,112,WA,WA8,R,1,D+3,0.485
2010,112,WA,WA9,D,0,D+5,0.475
2010,112,WV,WV1,R,1,R+9,0.545
2010,112,WV,WV2,R,1,R+8,0.54
2010,112,WV,WV3,D,0,R+6,0.53
2010,112,WI,WI1,R,1,R+2,0.51
2010,112,WI,WI2,D,0,D+15,0.425
2010,112,WI,WI3,D,0,D+4,0.48
2010,112,WI,WI4,D,0,D+22,0.39
2010,112,WI,WI5,R,1,R+12,0.56
2010,112,WI,WI6,R,1,R+4,0.52
2010,112,WI,WI7,R,1,D+3,0.485
2010,112,WI,WI8,R,1,R+2,0.51
2010,112,WY,WYAL,R,1,R+20,0.6
