year,congress,ST,ST#,PVI,metric
2022.0,118.0,NY,NY9,D+27,0.23
2022.0,118.0,NY,NY10,D+26,0.24
2022.0,118.0,NY,NY12,D+33,0.17
2022.0,118.0,NY,NY6,D+12,0.38
2022.0,118.0,NY,NY11,D+3,0.47
2022.0,118.0,OH,OH6,R+16,0.66
2022.0,118.0,OH,OH7,R+7,0.57
2022.0,118.0,OH,OH8,R+14,0.64
2022.0,118.0,OH,OH9,R+3,0.53
2022.0,118.0,OH,OH12,R+17,0.67
2022.0,118.0,OH,OH11,D+27,0.23
2022.0,118.0,OH,OH13,R+1,0.51
2022.0,118.0,OH,OH14,R+9,0.59
2022.0,118.0,OH,OH15,R+6,0.56
2022.0,118.0,OH,OH10,R+4,0.54
2022.0,118.0,OH,OH5,R+15,0.65
2022.0,118.0,OH,OH2,R+24,0.74
2022.0,118.0,OH,OH3,D+19,0.31
2022.0,118.0,OH,OH1,D+2,0.48
2022.0,118.0,OH,OH4,R+20,0.7
2022.0,118.0,OK,OK5,R+12,0.62
2022.0,118.0,OK,OK4,R+18,0.68
2022.0,118.0,OK,OK3,R+23,0.73
2022.0,118.0,OK,OK2,R+27,0.77
2022.0,118.0,OK,OK1,R+14,0.64
2022.0,118.0,OR,OR6,D+3,0.47
2022.0,118.0,OR,OR5,D+2,0.48
2022.0,118.0,OR,OR3,D+21,0.29
2022.0,118.0,OR,OR2,R+14,0.64
2022.0,118.0,OR,OR1,D+17,0.33
2022.0,118.0,OR,OR4,D+4,0.46
2022.0,118.0,PA,PA8,R+4,0.54
2022.0,118.0,PA,PA13,R+25,0.75
2022.0,118.0,PA,PA16,R+12,0.62
2022.0,118.0,PA,PA15,R+20,0.7
2022.0,118.0,PA,PA14,R+18,0.68
2022.0,118.0,PA,PA12,D+8,0.42
2022.0,118.0,PA,PA11,R+13,0.63
2022.0,118.0,PA,PA10,R+5,0.55
2022.0,118.0,PA,PA9,R+20,0.7
2022.0,118.0,PA,PA6,D+5,0.45
2022.0,118.0,PA,PA5,D+14,0.36
2022.0,118.0,PA,PA4,D+7,0.43
2022.0,118.0,PA,PA3,D+39,0.11
2022.0,118.0,PA,PA2,D+21,0.29
2022.0,118.0,PA,PA1,R+0,0.5
2022.0,118.0,PA,PA7,R+2,0.52
2022.0,118.0,PA,PA17,D+0,0.5
2022.0,118.0,RI,RI1,D+16,0.34
2022.0,118.0,RI,RI2,D+8,0.42
2022.0,118.0,SC,SC1,R+9,0.59
2022.0,118.0,SC,SC4,R+13,0.63
2022.0,118.0,SC,SC2,R+10,0.6
2022.0,118.0,SC,SC3,R+22,0.72
2022.0,118.0,SC,SC5,R+13,0.63
2022.0,118.0,SC,SC6,D+12,0.38
2022.0,118.0,SC,SC7,R+13,0.63
,,SD,SDAL,R+16,0.66
2022.0,118.0,TN,TN9,D+21,0.29
2022.0,118.0,TN,TN8,R+22,0.72
2022.0,118.0,TN,TN2,R+18,0.68
2022.0,118.0,TN,TN3,R+19,0.69
2022.0,118.0,TN,TN4,R+23,0.73
2022.0,118.0,TN,TN5,R+8,0.58
2022.0,118.0,TN,TN6,R+18,0.68
2022.0,118.0,TN,TN7,R+10,0.6
2022.0,118.0,TN,TN1,R+30,0.8
2022.0,118.0,TX,TX31,R+14,0.64
2022.0,118.0,TX,TX38,R+13,0.63
2022.0,118.0,TX,TX37,D+22,0.28
2022.0,118.0,TX,TX36,R+17,0.67
2022.0,118.0,TX,TX35,D+19,0.31
2022.0,118.0,TX,TX34,D+9,0.41
2022.0,118.0,TX,TX33,D+22,0.28
2022.0,118.0,TX,TX32,D+12,0.38
2022.0,118.0,TX,TX30,D+25,0.25
2022.0,118.0,TX,TX20,D+13,0.37
2022.0,118.0,TX,TX28,D+3,0.47
2022.0,118.0,TX,TX17,R+14,0.64
2022.0,118.0,TX,TX16,D+17,0.33
2022.0,118.0,TX,TX15,D+0,0.5
2022.0,118.0,TX,TX14,R+18,0.68
2022.0,118.0,TX,TX13,R+23,0.73
2022.0,118.0,TX,TX12,R+12,0.62
2022.0,118.0,TX,TX11,R+20,0.7
2022.0,118.0,TX,TX18,D+22,0.28
2022.0,118.0,TX,TX10,R+12,0.62
2022.0,118.0,TX,TX9,D+25,0.25
2022.0,118.0,TX,TX8,R+13,0.63
2022.0,118.0,TX,TX1,R+25,0.75
2022.0,118.0,TX,TX2,R+15,0.65
2022.0,118.0,TX,TX3,R+11,0.61
2022.0,118.0,TX,TX4,R+15,0.65
2022.0,118.0,TX,TX5,R+13,0.63
2022.0,118.0,TX,TX29,D+18,0.32
2022.0,118.0,TX,TX6,R+12,0.62
2022.0,118.0,TX,TX7,D+12,0.38
2022.0,118.0,TX,TX27,R+14,0.64
2022.0,118.0,TX,TX26,R+13,0.63
2022.0,118.0,TX,TX25,R+15,0.65
2022.0,118.0,TX,TX24,R+11,0.61
2022.0,118.0,TX,TX23,R+6,0.56
2022.0,118.0,TX,TX22,R+12,0.62
2022.0,118.0,TX,TX21,R+12,0.62
2022.0,118.0,TX,TX19,R+27,0.77
2022.0,118.0,UT,UT2,R+12,0.62
2022.0,118.0,UT,UT4,R+15,0.65
2022.0,118.0,UT,UT3,R+13,0.63
2022.0,118.0,UT,UT1,R+12,0.62
2022.0,118.0,VA,VA8,D+25,0.25
2022.0,118.0,VA,VA1,R+7,0.57
2022.0,118.0,VA,VA2,R+3,0.53
2022.0,118.0,VA,VA3,D+16,0.34
2022.0,118.0,VA,VA4,D+15,0.35
2022.0,118.0,VA,VA5,R+7,0.57
2022.0,118.0,VA,VA11,D+17,0.33
2022.0,118.0,VA,VA10,D+4,0.46
2022.0,118.0,VA,VA6,R+14,0.64
2022.0,118.0,VA,VA7,D+1,0.49
2022.0,118.0,VA,VA9,R+23,0.73
,,VT,VTAL,D+15,0.35
2022.0,118.0,WA,WA8,D+0,0.5
2022.0,118.0,WA,WA2,D+8,0.42
2022.0,118.0,WA,WA10,D+5,0.45
2022.0,118.0,WA,WA9,D+19,0.31
2022.0,118.0,WA,WA7,D+34,0.16
2022.0,118.0,WA,WA6,D+5,0.45
2022.0,118.0,WA,WA5,R+8,0.58
2022.0,118.0,WA,WA4,R+12,0.62
2022.0,118.0,WA,WA3,R+6,0.56
2022.0,118.0,WA,WA1,D+11,0.39
2022.0,118.0,WI,WI3,R+4,0.54
2022.0,118.0,WI,WI4,D+24,0.26
2022.0,118.0,WI,WI5,R+14,0.64
2022.0,118.0,WI,WI6,R+10,0.6
2022.0,118.0,WI,WI1,R+3,0.53
2022.0,118.0,WI,WI8,R+10,0.6
2022.0,118.0,WI,WI2,D+18,0.32
2022.0,118.0,WI,WI7,R+12,0.62
2022.0,118.0,WV,WV2,R+17,0.67
2022.0,118.0,WV,WV1,R+17,0.67
,,WY,WYAL,R+26,0.76
